NMDID_identifier,SVAD_identifier,SEX,agey,FDL_L,FMSB_L,FDB_L,FDL_R,FMSB_R,FDB_R,TDL_L,TPB_L,TMSB_L,TDB_L,TDL_R,TPB_R,TMSB_R,TDB_R,FBDL_L,FBDL_R,HDL_L,HPB_L,HMSB_L,HDB_L,HDL_R,HPB_R,HMSB_R,HDB_R,RDL_L,RPB_L,RMSB_L,RDB_L,RDL_R,RPB_R,RMSB_R,RDB_R,UDL_L,UMSB_L,UDL_R,UMSB_R,max_M1_L,max_M1_R,max_M2_L,max_M2_R,max_M3_L,max_M3_R,max_PM1_L,max_PM1_R,max_PM2_L,max_PM2_R,max_C_L,max_C_R,max_I1_L,max_I1_R,max_I2_L,max_I2_R,man_M1_L,man_M1_R,man_M2_L,man_M2_R,man_M3_L,man_M3_R,man_PM1_L,man_PM1_R,man_PM2_L,man_PM2_R,man_C_L,man_C_R,man_I1_L,man_I1_R,man_I2_L,man_I2_R,FH_EF_L,FGT_EF_L,FLT_EF_L,FDE_EF_L,FH_EF_R,FGT_EF_R,FLT_EF_R,FDE_EF_R,TPE_EF_L,TDE_EF_L,TPE_EF_R,TDE_EF_R,FBPE_EF_L,FBDE_EF_L,FBPE_EF_R,FBDE_EF_R,HH_Oss_L,HGT_Oss_L,HLT_Oss_L,HPE_EF_L,HC_Oss_L,HT_Oss_L,HLE_Oss_L,HCE1_EF_L,HCE2_EF_L,HDE_EF_L,HME_EF_L,HH_Oss_R,HGT_Oss_R,HLT_Oss_R,HPE_EF_R,HC_Oss_R,HT_Oss_R,HLE_Oss_R,HCE1_EF_R,HCE2_EF_R,HDE_EF_R,HME_EF_R,RPE_EF_L,RDE_EF_L,RPE_EF_R,RDE_EF_R,UPE_EF_L,UDE_EF_L,UPE_EF_R,UDE_EF_R,CT_EF_L,CT_EF_R,CC_Oss,TC_Oss,ISPR_EF_L,ISPR_EF_R,ILIS_EF_L,ILIS_EF_R,PC_Oss_L,PC_Oss_R,IC_EF_L,IC_EF_R
165073,US_0186,F,1.17260274,141.79,12.6,38.46,NA,NA,NA,114.88,29.93,10.43,19.46,NA,NA,NA,NA,110.76,NA,105.94,21.71,12.27,27.41,NA,NA,NA,NA,83.86,11.26,8.65,15.7,NA,NA,NA,NA,95.76,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,NA,NA,0,NA,3,5,0,NA,0,NA,0,NA,NA,NA
116077,US_0006,F,4.756164384,257.3,15.85,52.85,NA,NA,NA,210.03,43.73,14.95,30.35,NA,NA,NA,NA,212.17,NA,188.89,27.92,15.2,38.28,NA,NA,NA,NA,143.38,12.17,10.36,NA,NA,NA,NA,NA,158.56,9.74,NA,NA,8,8,3,2,-1,-1,4,4,3,3,6,6,8,8,8,8,8,8,3,3,-1,-1,6,6,2,3,7,7,9,9,9,9,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,1,NA,6,7,1,NA,0,NA,1,NA,NA,NA
106974,US_0837,M,4.073972603,211.32,13.37,43.2,NA,NA,NA,171.1,35.83,12.77,23.8,NA,NA,NA,NA,168.31,NA,150.2,23.38,11.23,27.84,NA,NA,NA,NA,111.39,9.7,7.77,14.4,NA,NA,NA,NA,123.06,7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,NA,NA,0,NA,2,7,0,NA,0,NA,0,NA,NA,NA
192604,US_0915,M,1.087671233,144.6,12.37,39.89,NA,NA,NA,120.4,31.06,10.8,19.89,NA,NA,NA,NA,118.47,NA,111.71,23.13,12.2,28.34,NA,NA,NA,NA,88.97,11.25,8.94,15.55,NA,NA,NA,NA,101.44,8.42,NA,NA,3,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,1,1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,3,2,2,1,0,0,1,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,NA,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,NA,NA,0,NA,2,4,0,NA,0,NA,0,NA,NA,NA
109364,US_0617,M,0.830136986,124.93,11.35,38.77,NA,NA,NA,101.25,29.75,9.62,19.79,NA,NA,NA,NA,98.39,NA,100.81,23.65,12.35,27.75,NA,NA,NA,NA,77.32,10.37,7.46,15.71,NA,NA,NA,NA,86.3,8.74,NA,NA,1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,1,2,1,0,0,1,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,NA,1,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,2,4,0,NA,0,NA,0,NA,NA,NA
123618,US_0165,F,14.86027397,NA,NA,67.15,NA,NA,NA,NA,NA,NA,53.77,NA,NA,NA,NA,NA,NA,NA,41.98,NA,46.3,NA,NA,NA,NA,NA,NA,NA,23.86,NA,NA,NA,NA,NA,NA,NA,NA,13,13,11,11,8,8,11,11,11,11,11,11,12,12,12,12,13,13,11,10,8,8,11,11,11,11,11,11,12,12,12,12,3,3,3,23,NA,NA,NA,NA,3,3,NA,NA,3,3,NA,NA,1,1,1,1,1,1,1,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,NA,NA,4,23,NA,NA,3,NA,8,7,2,NA,2,NA,1,NA,2,2
126949,US_0657,M,13.65205479,NA,NA,73.32,NA,NA,NA,NA,59.61,NA,45.27,NA,NA,NA,NA,NA,NA,NA,44.32,NA,56.92,NA,NA,NA,NA,NA,20.49,NA,30.56,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,10,11,4,3,13,NA,12,NA,13,11,13,NA,13,NA,12,12,11,11,6,7,11,11,11,11,11,11,12,12,11,11,23,2,1,1,NA,NA,NA,NA,2,3,NA,NA,1,2,NA,NA,1,1,1,1,1,1,1,1,1,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,1,NA,NA,3,NA,8,7,2,NA,2,NA,1,NA,1,1
195093,US_0013,M,3.909589041,228.58,17.54,52.33,NA,NA,NA,190.47,42.13,12.87,27.03,NA,NA,NA,NA,189.97,NA,169.49,26.58,13.77,34.94,NA,NA,NA,NA,129.84,11.53,9.22,17.13,NA,NA,NA,NA,143,9.16,NA,NA,8,8,2,2,-1,-1,3,3,3,3,6,6,7,7,7,7,8,8,3,3,-1,-1,6,6,3,3,6,6,7,7,6,6,1,1,0,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,NA,0,NA,2,7,0,NA,0,NA,1,NA,NA,NA
100089,US_1276,F,4.424657534,NA,NA,54.52,NA,NA,NA,210.1,43.22,14.7,30.03,NA,NA,NA,NA,203.58,NA,NA,29.84,NA,35.37,NA,NA,NA,NA,136.82,12.43,9.51,18.85,NA,NA,NA,NA,150.61,10.09,NA,NA,6,7,3,3,-1,-1,5,5,4,4,6,6,8,8,7,7,8,8,3,3,-1,-1,6,5,2,3,7,6,8,8,8,8,1,1,0,1,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,1,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0,NA,NA,0,NA,5,7,2,2,0,NA,1,NA,NA,NA
161901,US_0978,F,0.983561644,131.5,12.14,34.83,NA,NA,NA,107.51,26.95,10.39,18.83,NA,NA,NA,NA,103.1,NA,103.24,19.78,10.8,26.28,NA,NA,NA,NA,75.71,9.08,7.93,14.25,NA,NA,NA,NA,86.78,7.59,NA,NA,2,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,1,1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1,1,NA,NA,0,1,NA,NA,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,NA,2,4,0,NA,0,NA,0,NA,NA,NA
